x_raw,x_float,y_hw_raw,y_hw_float,y_ref,err
0,0.000000,27622792,-0.707107,-0.707107,1.909156e-07
4096,0.000488,27628588,-0.706416,-0.706416,2.569268e-07
8192,0.000977,27634390,-0.705724,-0.705724,3.645031e-07
12288,0.001465,27640197,-0.705032,-0.705032,3.950947e-07
16384,0.001953,27646010,-0.704339,-0.704339,4.685711e-07
20480,0.002441,27651828,-0.703645,-0.703646,4.663836e-07
24576,0.002930,27657652,-0.702951,-0.702951,5.084032e-07
28672,0.003418,27663481,-0.702256,-0.702257,4.760825e-07
32768,0.003906,27669316,-0.701560,-0.701561,4.892935e-07
36864,0.004395,27675156,-0.700864,-0.700865,4.294904e-07
40960,0.004883,27681003,-0.700167,-0.700168,5.357556e-07
45056,0.005371,27686854,-0.699470,-0.699470,4.511260e-07
49152,0.005859,27692712,-0.698771,-0.698772,5.338946e-07
53248,0.006348,27698574,-0.698073,-0.698073,4.270995e-07
57344,0.006836,27704443,-0.697373,-0.697374,4.890351e-07
61440,0.007324,27710316,-0.696673,-0.696673,3.627407e-07
65536,0.007812,27716196,-0.695972,-0.695972,4.065120e-07
69632,0.008301,27722081,-0.695270,-0.695271,3.825988e-07
73728,0.008789,27727972,-0.694568,-0.694569,4.108794e-07
77824,0.009277,27733868,-0.693865,-0.693866,3.728144e-07
81920,0.009766,27739770,-0.693162,-0.693162,3.882833e-07
86016,0.010254,27745677,-0.692458,-0.692458,3.387478e-07
90112,0.010742,27751590,-0.691753,-0.691753,3.440887e-07
94208,0.011230,27757508,-0.691047,-0.691047,2.857691e-07
98304,0.011719,27763432,-0.690341,-0.690341,2.836710e-07
102400,0.012207,27769362,-0.689634,-0.689634,3.384680e-07
106496,0.012695,27775297,-0.688927,-0.688927,3.316249e-07
110592,0.013184,27781237,-0.688218,-0.688219,2.638163e-07
114688,0.013672,27787184,-0.687510,-0.687510,3.741363e-07
118784,0.014160,27793135,-0.686800,-0.686800,3.056329e-07
122880,0.014648,27799093,-0.686090,-0.686090,4.166107e-07
126976,0.015137,27805056,-0.685379,-0.685379,4.693284e-07
131072,0.015625,27811016,-0.684669,-0.684668,4.892107e-07
135168,0.016113,27816990,-0.683956,-0.683956,4.317699e-07
139264,0.016602,27822969,-0.683244,-0.683243,4.305539e-07
143360,0.017090,27828954,-0.682530,-0.682530,3.656736e-07
147456,0.017578,27834944,-0.681816,-0.681816,3.556579e-07
151552,0.018066,27840940,-0.681101,-0.681101,2.806166e-07
155648,0.018555,27846940,-0.680386,-0.680386,3.782867e-07
159744,0.019043,27852947,-0.679670,-0.679670,2.903580e-07
163840,0.019531,27858958,-0.678953,-0.678953,3.737757e-07
167936,0.020020,27864976,-0.678236,-0.678236,2.702283e-07
172032,0.020508,27870998,-0.677518,-0.677518,3.366598e-07
176128,0.020996,27877026,-0.676800,-0.676799,3.339668e-07
180224,0.021484,27883059,-0.676080,-0.676080,3.806732e-07
184320,0.021973,27889098,-0.675360,-0.675360,3.568840e-07
188416,0.022461,27895142,-0.674640,-0.674640,3.811219e-07
192512,0.022949,27901191,-0.673919,-0.673918,4.526997e-07
196608,0.023438,27907246,-0.673197,-0.673197,4.517204e-07
200704,0.023926,27913306,-0.672475,-0.672474,4.967048e-07
204800,0.024414,27919372,-0.671751,-0.671751,4.677548e-07
208896,0.024902,27925443,-0.671028,-0.671027,4.833899e-07
212992,0.025391,27931519,-0.670303,-0.670303,5.429201e-07
217088,0.025879,27937601,-0.669578,-0.669578,5.264452e-07
221184,0.026367,27943688,-0.668853,-0.668852,5.524830e-07
225280,0.026855,27949781,-0.668126,-0.668126,5.011322e-07
229376,0.027344,27955878,-0.667400,-0.667399,6.101188e-07
233472,0.027832,27961982,-0.666672,-0.666671,5.211217e-07
237568,0.028320,27968090,-0.665944,-0.665943,5.910748e-07
241664,0.028809,27974205,-0.665215,-0.665214,4.616558e-07
245760,0.029297,27980324,-0.664485,-0.664485,4.897975e-07
249856,0.029785,27986449,-0.663755,-0.663755,4.363857e-07
253952,0.030273,27992579,-0.663025,-0.663024,4.199333e-07
258048,0.030762,27998715,-0.662293,-0.662293,3.205343e-07
262144,0.031250,28004856,-0.661561,-0.661561,2.567003e-07
266240,0.031738,28011002,-0.660828,-0.660828,2.277333e-07
270336,0.032227,28017154,-0.660095,-0.660095,1.137254e-07
274432,0.032715,28023311,-0.659361,-0.659361,3.318647e-08
278528,0.033203,28029473,-0.658626,-0.658626,1.458333e-08
